date,NO3_N_mgL,2 x 12 CMA (TREND)
2/6/2018,1.12,0.9711
2/20/2018,0.952,0.95495
3/6/2018,,0.9075
3/20/2018,1.06,0.85605
4/3/2018,0.943,0.8087
4/17/2018,0.741,0.7632
5/2/2018,0.501,0.716566667
5/15/2018,0.507,0.665388889
5/29/2018,0.505,0.609622222
6/11/2018,0.738,0.5439
6/26/2018,0.311,0.47255
7/10/2018,,0.41725
7/24/2018,0.413,0.3846
8/7/2018,0.119,0.35255
8/21/2018,0.262,0.3213
9/4/2018,0.314,0.29685
9/18/2018,0.264,0.2902
10/2/2018,0.325,0.360909091
10/16/2018,0.042,0.474409091
10/30/2018,0.345,0.5925
11/13/2018,0.409,0.703363636
11/27/2018,0.507,0.796272727
12/12/2018,1.64,0.870363636
1/9/2019,1.57,0.946227273
1/23/2019,1.56,1.032681818
2/5/2019,1.26,1.081272727
2/19/2019,1.36,1.087954545
3/5/2019,0.848,1.073772727
3/19/2019,1.41,1.002863636
4/2/2019,0.859,0.897045455
4/16/2019,0.597,0.794
4/30/2019,0.304,0.679909091
5/14/2019,0.3,0.587772727
5/28/2019,0.287,0.51115
6/12/2019,0.595,0.4029
6/25/2019,0.268,0.29365
7/9/2019,0.042,0.22745
7/11/2019,,0.1977
7/23/2019,0.051,0.2568
8/7/2019,0.042,0.33795
8/20/2019,0.042,0.3423
9/3/2019,0.09,0.336055556
9/17/2019,0.216,0.375944444
10/1/2019,1.57,0.443838889
10/15/2019,0.64,0.54335
10/17/2019,,0.6562
10/29/2019,0.395,0.775
11/26/2019,0.633,0.8939
12/10/2019,1.11,0.97845
1/14/2020,1.34,0.9702
1/28/2020,1.01,0.91925
2/25/2020,1.45,0.887527273
3/10/2020,1.06,0.858090909
3/24/2020,0.937,0.837727273
4/7/2020,0.684,0.785681818
4/21/2020,0.507,0.704727273
5/5/2020,0.361,0.620909091
5/19/2020,0.299,0.533454545
6/3/2020,0.281,0.438636364
6/16/2020,0.317,0.351681818
6/30/2020,0.352,0.281818182
7/14/2020,0.154,0.232681818
7/28/2020,0.382,0.201136364
8/11/2020,0.042,0.234590909
8/25/2020,0.042,0.310909091
9/8/2020,0.042,0.355136364
9/22/2020,0.068,0.382136364
10/6/2020,0.106,0.417454545
10/19/2020,1.29,0.469090909
11/3/2020,0.969,0.583
11/17/2020,0.602,0.745090909
12/1/2020,0.661,0.884
12/15/2020,0.622,1.012181818
1/12/2021,1.05,1.126090909
1/26/2021,1.88,1.160818182
2/23/2021,1.77,1.135818182
3/9/2021,1.37,1.114545455
3/23/2021,1.56,1.107727273
4/14/2021,1.12,1.128909091
4/20/2021,1.04,1.125681818
5/4/2021,0.669,1.041909091
5/18/2021,0.434,0.928954545
6/1/2021,0.679,0.830136364
6/15/2021,1.07,0.732954545
6/29/2021,0.531,0.675
7/13/2021,0.556,0.658318182
7/27/2021,0.609,0.641681818
8/10/2021,0.357,0.638045455
8/24/2021,0.435,0.63
9/7/2021,0.97,0.606272727
9/21/2021,0.823,0.602318182
10/5/2021,0.52,0.647454545
10/19/2021,0.503,0.68775
11/2/2021,0.433,0.77515
11/16/2021,0.794,0.89655
11/30/2021,0.72,0.93525
12/14/2021,1.36,0.93475
3/9/2011,,0.9306
3/30/2011,2.03,0.9129
4/19/2011,1.19,0.914
5/3/2011,0.989,0.8971
5/18/2011,0.794,0.8416
5/30/2011,0.466,0.8016
6/21/2011,0.203,0.816640909
7/12/2011,0.755,0.791
7/26/2011,0.134,0.707045455
8/16/2011,0.27,0.670545455
8/30/2011,1.01,0.661772727
9/21/2011,1.5,0.674636364
10/5/2011,0.75,0.866318182
10/18/2011,0.623,1.143227273
11/1/2011,0.753,1.376909091
11/15/2011,0.837,1.600363636
11/29/2011,0.706,1.707636364
12/19/2011,4.18,1.706181818
2/21/2012,2.87,1.676954545
3/6/2012,3.16,1.672181818
3/19/2012,2.16,1.662045455
4/3/2012,1.48,1.639727273
4/17/2012,0.998,1.624227273
4/24/2012,0.609,1.446909091
5/2/2012,0.659,1.160772727
5/8/2012,0.494,0.925954545
5/14/2012,0.605,0.737154545
5/22/2012,0.597,0.6209
6/4/2012,0.388,0.5452
6/12/2012,0.367,0.50645
6/18/2012,0.497,0.48085
6/20/2012,,0.4574
6/26/2012,0.51,0.41985
7/3/2012,0.454,0.36395
7/10/2012,0.378,0.338
7/24/2012,0.378,0.338288889
7/30/2012,0.306,0.331611111
8/7/2012,0.042,0.339572222
8/14/2012,0.042,0.3472
8/21/2012,0.424,0.33655
8/22/2012,,0.3335
8/28/2012,0.404,0.33595
9/5/2012,0.589,0.3511
9/11/2012,0.4,0.3857
9/18/2012,0.351,0.4241
9/25/2012,0.42,0.443
10/1/2012,0.385,0.443286364
10/9/2012,0.602,0.457363636
